,FirstOrderDate,marketing_channel,First_Ord_Value,SecondOrdValue,D2_D1,customer_count
87,2024-02-14,MyRewards,601.0,,,5
88,2023-05-23,Affiliate,549.1666666666666,,,6
89,2023-10-27,Affiliate,591.6666666666666,,,3
90,2024-02-13,Direct/SEO,1617.8461538461538,,,11
91,2023-05-23,Instagram,319.0,,,2
92,2024-01-11,MyRewards,390.75,,,4
93,2022-10-22,Instagram,409.1666666666667,,,6
94,2023-02-05,Google,435.6666666666667,,,6
95,2023-02-05,MyRewards,339.3076923076923,,,13
96,2023-10-04,Instagram,591.0,,,5
97,2023-10-27,Instagram,750.0,,,1
98,2023-10-24,Affiliate,1095.0,,,1
99,2023-04-09,MyRewards,319.0,,,2
100,2023-01-01,Affiliate,1285.0,790.0,-19.0,4
101,2023-01-13,Affiliate,790.0,,,2
102,2023-08-21,MyRewards,693.5,,,2
103,2022-10-07,Affiliate,395.0,,,1
104,2023-10-08,Facebook,680.1596899224807,764.5,-53.875,644
105,2023-12-03,Others,568.8190298507462,749.0,-30.0,1072
106,2023-08-06,Others,539.2930029154519,521.8333333333334,-94.0,683
107,2022-11-04,Instagram,407.5,,,52
108,2023-10-27,Google,674.6589147286821,,,128
109,2023-07-26,Facebook,785.1070707070708,672.6428571428571,-95.21428571428571,489
110,2022-12-26,Facebook,538.5133079847909,475.4,-105.7,260
111,2024-02-14,Others,644.697270471464,1099.0,-9.0,804
112,2023-01-13,MyRewards,355.4943820224719,,,89
113,2023-08-21,Others,566.6076923076923,,,257
114,2023-01-01,MyRewards,348.4719101123595,647.0,-40.5,89
115,2023-05-16,Others,704.6196078431373,831.2,-105.2,509
116,2023-04-26,Others,697.3230769230769,449.0,-208.0,389
117,2023-07-14,Direct/SEO,654.3117723156533,674.5576923076923,-54.88461538461539,745
118,2022-10-30,Direct/SEO,545.7232227488151,581.25,-193.0,1040
119,2022-09-19,Direct/SEO,484.78841870824056,1155.4782608695652,-159.47826086956522,442
120,2023-09-13,Direct/SEO,597.6790890269151,682.92,-55.04,474
121,2024-02-23,Facebook,665.0845921450151,449.0,-6.0,328
122,2022-10-04,Direct/SEO,535.2798774259448,571.8823529411765,-216.88235294117646,962
123,2023-01-29,Direct/SEO,613.75,724.7333333333333,-131.44444444444446,877
124,2022-11-04,Others,433.16163410301954,575.6666666666666,-192.54166666666666,559
125,2023-07-20,Google,832.0612244897959,299.0,-58.0,48
126,2023-12-29,Direct/SEO,633.1688073394496,494.27272727272725,-24.363636363636363,541
127,2023-11-09,Others,684.5496688741722,566.0,-63.333333333333336,753
128,2023-11-09,Affiliate,662.8235294117648,,,16
129,2023-01-13,Google,463.0416666666667,,,48
130,2024-01-11,Others,652.7123287671233,,,145
131,2023-03-02,Others,627.4589800443459,415.6666666666667,-69.0,449
132,2023-11-29,Others,619.2912087912088,,,182
133,2023-02-05,Others,608.3097345132743,1288.5,-166.0,113
134,2022-12-12,Direct/SEO,538.0308483290488,492.24242424242425,-132.1818181818182,382
135,2023-10-04,Google,628.6263736263736,565.3333333333334,-86.0,182
136,2023-10-03,Direct/SEO,657.9152046783626,702.1052631578947,-29.94736842105263,334
137,2023-10-05,Google,585.0,324.5,-41.0,65
138,2022-10-13,Others,371.3222836095764,503.95652173913044,-234.65217391304347,539
139,2023-04-10,Direct/SEO,606.9757738896366,614.2758620689655,-122.51724137931035,732
140,2023-07-24,Others,746.7744565217391,887.2,-77.4,365
141,2022-12-06,Others,430.3840579710145,455.6,-133.4,135
142,2024-02-03,Others,654.3753541076487,349.5,-12.5,706
143,2023-02-11,MyRewards,258.57575757575756,678.0,-177.66666666666666,65
144,2023-04-09,Others,660.3272727272728,,,55
145,2023-01-28,Google,504.3333333333333,989.0,-13.0,21
146,2023-01-01,Google,474.1470588235294,990.0,-27.0,68
147,2023-07-17,Others,736.3883495145631,,,102
148,2023-11-03,Direct/SEO,686.1052631578947,374.0,-56.25,74
149,2023-11-26,Facebook,666.416961130742,824.0,-49.0,281
150,2023-12-10,Others,620.4807692307693,,,52
151,2023-10-24,Google,612.6222222222223,990.0,-16.0,45
152,2022-10-07,MyRewards,335.768115942029,,,69
153,2022-10-13,Instagram,349.96,,,25
154,2023-04-26,Instagram,310.7567567567568,687.0,-207.5,37
155,2022-11-04,Affiliate,419.0,,,3
156,2022-10-07,Google,348.9423076923077,441.0,-102.5,52
157,2023-06-23,Google,736.2926829268292,1262.0,-94.0,40
158,2023-05-16,Affiliate,483.6818181818182,239.0,-21.0,22
159,2023-10-20,Google,690.7594936708861,475.0,-86.0,79
160,2023-10-04,MyRewards,451.7631578947368,,,37
161,2023-08-06,Affiliate,463.9310344827586,,,29
162,2023-10-24,MyRewards,572.625,,,8
163,2023-07-16,MyRewards,385.05555555555554,,,18
164,2023-08-06,Instagram,220.88888888888889,,,9
165,2023-11-09,Instagram,312.0,,,2
166,2023-07-17,Affiliate,804.6,,,10
167,2023-10-27,MyRewards,472.57894736842104,,,19
168,2022-10-22,MyRewards,351.57142857142856,,,28
169,2023-02-11,Google,431.7631578947368,836.5,-87.5,37
170,2023-01-28,MyRewards,265.8181818181818,,,66
171,2023-10-05,MyRewards,556.3636363636364,,,11
172,2023-03-02,Instagram,312.84615384615387,199.0,-216.0,13
173,2023-01-18,Facebook,618.4347826086956,395.0,-18.0,47
174,2023-07-24,Instagram,545.4,,,10
175,2023-07-24,Affiliate,835.1666666666666,,,12
176,2023-07-20,MyRewards,447.1388888888889,,,35
177,2023-05-16,Instagram,549.7272727272727,,,11
178,2023-07-16,Google,906.1081081081081,854.5,-134.5,37
179,2023-11-29,Instagram,1125.0,,,1
180,2022-09-29,CashKaro,0.0,,,1
181,2024-02-14,Affiliate,541.4375,,,16
182,2023-07-17,Instagram,606.3333333333334,,,3
183,2023-05-23,Google,720.5,,,6
184,2023-08-21,Affiliate,1698.6,,,5
185,2022-12-06,Instagram,511.75,,,8
186,2022-10-22,Google,397.61538461538464,621.5,-305.0,13
187,2023-10-20,MyRewards,515.8888888888889,,,9
188,2023-05-23,MyRewards,365.625,,,8
189,2024-02-03,Affiliate,677.1428571428571,399.0,-5.0,7
190,2023-02-05,Instagram,239.0,,,5
191,2023-11-29,Affiliate,199.0,,,1
192,2024-01-11,Affiliate,924.5,,,2
193,2023-04-09,Instagram,295.0,,,5
194,2024-01-11,Instagram,1125.0,,,1
195,2023-12-03,Instagram,459.5,,,2
196,2023-04-26,Affiliate,696.8571428571429,,,7
197,2023-06-23,MyRewards,474.0,,,2
198,2022-09-17,CashKaro,249.0,1250.0,-386.0,1
199,2022-10-13,Affiliate,112.0,,,1
200,2023-12-10,Affiliate,1039.0,,,1
201,2024-02-14,Instagram,1125.0,,,1
