CustomerID,aov,quartile
655eb9a0b8c44d0015638a01,0.0,1
64343f27f3f2b500159cc9c2,0.0,1
630b905decaa3900153c5b40,0.0,1
5d1382dcbbd7f213d9bdd1f7,0.0,1
5d772ece7c36bc1cfe765428,0.0,1
64fb2d3aeac01b001572fb65,0.0,1
636a6f1c2cea15001660b25e,0.0,1
656755b682a530001542cb46,0.0,1
6563803561328000154952be,0.0,1
5cfb4e410b2a49053617653a,0.0,1
63330eea191fdd001725fbaa,0.0,1
62e22a284f8b31001567dff2,0.0,1
651546943810fe00144dc34d,0.0,1
61e8184e569d02001a374e31,0.0,1
60c9a3869001cf0014409573,0.0,1
655f5bdab8c44d0015642220,0.0,1
6549ca19bf9a1e001516dc2f,0.0,1
61e6538a217f74001a2e5bf5,0.0,1
6422a05c2e38790015ad18de,0.0,1
62b9ff9d374e720014f651f0,0.0,1
62888967e6e4f80013ccfd00,0.0,1
60c1266851c263001a1a478e,0.0,1
63ff3f1990d93000155e2aa2,0.0,1
623b069aa237de0014b11f89,0.0,1
6182421374080f0013d4d6f8,0.0,1
61cc096bc41f7800144ed26f,0.0,1
5dfd546a3c9dd70cca199212,0.0,1
61b59aadd57eb2001480fc8e,0.0,1
62442a4973b5140013e344ba,0.0,1
619fe5e6f573c00013b49dee,0.0,1
63785e1a539f430015eae93b,0.0,1
6115804405f28400130a697f,0.0,1
61d9e048a6b6850013782a53,0.0,1
651ec06172a6070015b7612d,0.0,1
641c39a36f64a70015e59b25,0.0,1
635babf522d19900174b44cf,0.0,1
61dc11ee9cb27f00143dfc76,0.0,1
652855117b62980015a5d158,0.0,1
622ea96387570a0013daf099,0.0,1
633c52f7aee4db00163ea3c4,0.0,1
64b0e257dce80c001573dcdf,0.0,1
653bd1c64eae4d00158b2d11,0.0,1
65097e67be075d00165cdabd,0.0,1
647449180d46080015b5249e,0.0,1
6289cf8f8b56540013fa4c4e,0.0,1
64940dd57ed255001531aa4d,0.0,1
6329f1be1d805f0015299bd9,0.0,1
622a392987570a0013d74198,0.0,1
64cf4aa31495320015d17f7a,0.0,1
629bab0c7245960013be982e,0.0,1
656bd50750e0290015d6b845,0.0,1
64b3932d4e7e790015f65bb4,0.0,1
63204892df485a00157a075b,0.0,1
64874c767fdce70015a0d398,0.0,1
63aa09bec196630016f17f24,0.0,1
624c702dc2747f0013e84258,0.0,1
60f30c25dec2470014064ad3,0.0,1
64ff7c2f83a1780015a8f452,0.0,1
