CustomerCity,month_0,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8
Ahmedabad,9.691699014631233,0.18886234696924456,0.12951627351448194,0.11570618094953718,0.0851000298596596,0.06121230217975515,0.055613616004777544,0.044789489399820845,0.04143027769483428
Bhubaneswar,5.070916691549717,0.08659301283965362,0.04889519259480442,0.05188115855479247,0.045909226634816364,0.029859659599880562,0.030232905344879067,0.024634219169901463,0.0212750074649149
Boothgarh,6.91251119737235,0.1851298895192595,0.11607942669453568,0.10264257987458943,0.08099432666467603,0.0641982681397432,0.05897282770976411,0.05150791280979397,0.045535980889817855
Chandigarh,5.157882950134368,0.11458644371454166,0.0750223947446999,0.06606449686473574,0.06755747984472978,0.044416243654822336,0.036578083009853685,0.026873693639892504,0.02911316810988355
Chennai,9.710734547626156,0.1287697820244849,0.0750223947446999,0.08211406389967155,0.06270528515974919,0.0425500149298298,0.045535980889817855,0.0373245744998507,0.024260973424902955
Gurugram,2.3436100328456257,0.04217676918483129,0.03097939683487608,0.02873992236488504,0.022767990444908928,0.01754255001492983,0.016796058524932815,0.013436846819946252,0.010450880859958196
Guwahati,4.948865332935204,0.07726186921469096,0.06009256494475963,0.040683786204837265,0.036578083009853685,0.03284562555986862,0.02388772767990445,0.017915795759928337,0.015303075544938788
Hyderabad,13.730964467005077,0.20603165123917588,0.15191101821439235,0.12578381606449687,0.09405792773962376,0.0686772170797253,0.06531800537473872,0.055613616004777544,0.049641684084801435
Indore,4.8088981785607645,0.09517766497461928,0.07054344580471783,0.06158554792475366,0.05113466706479546,0.03807106598984772,0.04180352343983278,0.023141236189907436,0.025380710659898477
Jaipur,8.69475962974022,0.159749178859361,0.11272021498954912,0.10301582561958794,0.0851000298596596,0.05710659898477157,0.06494475962974022,0.04292326067482831,0.03844431173484622
Kochi,3.931024186324276,0.03359211704986563,0.022394744699910422,0.022394744699910422,0.012690355329949238,0.013063601074947745,0.012690355329949238,0.008584652134965662,0.009704389369961182
Patna,9.690579277396237,0.17691848312929231,0.1123469692445506,0.09480441922962078,0.0854732756046581,0.06009256494475963,0.050388175574798445,0.040310540459838756,0.036578083009853685
Surat,2.9068378620483726,0.060465810689758134,0.04217676918483129,0.03433860853986265,0.028366676619886535,0.017915795759928337,0.013063601074947745,0.014556584054941774,0.0160495670349358
