marketing_channel,month_0,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8
Affiliate,0.32422300974585716,0.007969389474151437,0.004741282345381234,0.003328985476544271,0.004438647302059028,0.0017149319121591699,0.0007061484344184817,0.0009079051299666194,0.00010087834777406881
CashKaro,0.0030263504332220647,0.0,0.00010087834777406881,0.0,0.0,0.0,0.0,0.0,0.00010087834777406881
Direct/SEO,33.30054787030676,0.7932064485475031,0.5549317911051526,0.46736938523726085,0.4058335930950788,0.2803409284641372,0.26440214951583435,0.2197130414519219,0.1886425103375087
Facebook,22.445230623034764,0.4713036408004495,0.31756503879276865,0.3080824741020062,0.24352033152660213,0.1720984613025614,0.17623447356129823,0.13346205410509304,0.11661537002682355
Google,3.8559739653160063,0.07414558561394058,0.04953126875706779,0.0452943781505569,0.03893904224079056,0.02824593737673927,0.028548572420061476,0.02289938494471362,0.015737022252754737
Instagram,0.6793147939105794,0.008574659560795849,0.008776416256343986,0.007263241039732955,0.0052456740842515785,0.005649187475347854,0.006052700866444129,0.0030263504332220647,0.005750065823121923
MyRewards,2.8534449451373107,0.023504655031358034,0.015131752166110322,0.01271067181953267,0.013921211992821496,0.01028959147295502,0.010592226516277226,0.008070267821925506,0.006960605996410748
Others,23.074711513144955,0.2399895893545097,0.15868164104861024,0.13598401279944478,0.1096547640304128,0.07848335456822554,0.07132099187626666,0.05760153657899329,0.05780329327454143
